true,predicted,errors,fraction_of_true_class,fraction_of_all_errors
bus,opel,2,0.001834862385321101,0.0029806259314456036
bus,saab,0,0.0,0.0
bus,van,28,0.025688073394495414,0.041728763040238454
opel,bus,1,0.0009433962264150943,0.0014903129657228018
opel,saab,290,0.27358490566037735,0.43219076005961254
opel,van,16,0.01509433962264151,0.02384500745156483
saab,bus,13,0.011981566820276499,0.019374068554396422
saab,opel,273,0.25161290322580643,0.4068554396423249
saab,van,21,0.01935483870967742,0.03129657228017884
van,bus,8,0.008040201005025126,0.011922503725782414
van,opel,14,0.01407035175879397,0.020864381520119227
van,saab,5,0.005025125628140704,0.007451564828614009
