split,repeat,row_index,edge_features,error
0,0,3,0,False
0,0,10,0,False
0,0,19,1,False
0,0,32,2,True
0,0,38,1,True
0,0,80,1,False
0,0,90,1,False
0,0,98,1,False
0,0,102,0,False
0,0,109,0,False
0,0,112,1,False
0,0,114,0,False
0,0,139,0,False
0,0,144,0,False
0,0,150,0,False
0,0,153,0,False
0,0,161,1,True
0,0,169,1,False
0,0,184,0,False
0,0,216,0,True
0,0,224,0,False
0,0,249,8,False
0,0,277,0,False
0,0,281,0,False
0,0,287,0,False
0,0,294,8,False
0,0,307,0,False
0,0,310,0,True
0,0,314,0,False
0,0,321,10,False
0,0,328,0,False
0,0,337,0,False
0,0,344,3,False
0,0,357,3,False
0,0,360,1,False
0,0,366,0,False
0,0,367,1,False
0,0,373,1,False
0,0,387,0,False
0,0,389,4,False
0,0,390,3,False
0,0,394,0,True
0,0,399,1,False
0,0,424,0,False
0,0,435,1,False
0,0,449,0,False
0,0,453,0,False
0,0,471,3,False
0,0,479,3,False
0,0,502,0,True
0,0,507,3,True
0,0,531,9,False
0,0,535,0,False
0,0,537,5,False
0,0,549,0,False
0,0,591,2,False
0,0,592,1,False
0,0,593,0,True
0,0,595,0,False
0,0,596,0,False
0,0,607,5,False
0,0,646,0,False
0,0,670,2,False
0,0,684,0,False
0,0,688,9,True
0,0,702,1,False
0,0,703,3,False
0,0,720,0,True
0,0,739,0,False
0,0,752,1,False
0,0,761,4,False
0,0,776,0,False
0,0,777,7,False
0,0,784,8,True
0,0,785,2,False
0,0,796,6,False
0,0,803,0,False
0,0,805,1,False
0,0,807,0,False
0,0,819,0,False
0,0,831,0,False
0,0,835,10,False
0,0,841,0,False
0,0,844,1,False
0,0,845,5,False
1,0,2,0,False
1,0,23,0,True
1,0,27,0,False
1,0,29,1,True
1,0,59,2,False
1,0,91,0,True
1,0,92,1,False
1,0,97,0,False
1,0,108,1,False
1,0,124,0,False
1,0,128,0,False
1,0,134,0,False
1,0,143,1,False
1,0,192,1,False
1,0,196,3,True
1,0,199,0,False
1,0,206,0,True
1,0,214,1,False
1,0,218,0,False
1,0,227,2,False
1,0,232,2,False
1,0,251,4,False
1,0,263,2,False
1,0,271,0,False
1,0,299,0,False
1,0,300,0,True
1,0,324,0,False
1,0,327,0,True
1,0,355,0,True
1,0,368,0,False
1,0,369,0,True
1,0,378,3,True
1,0,413,2,True
1,0,431,2,False
1,0,437,0,False
1,0,456,1,False
1,0,464,0,False
1,0,470,0,False
1,0,477,0,False
1,0,492,1,False
1,0,506,2,False
1,0,518,0,False
1,0,521,1,False
1,0,538,0,False
1,0,539,7,False
1,0,547,0,True
1,0,551,1,False
1,0,554,2,False
1,0,555,0,False
1,0,556,9,False
1,0,567,0,False
1,0,579,0,True
1,0,589,5,False
1,0,594,2,False
1,0,604,0,True
1,0,608,1,False
1,0,629,0,False
1,0,638,1,False
1,0,640,1,True
1,0,641,1,False
1,0,647,0,False
1,0,654,3,True
1,0,657,0,False
1,0,668,0,False
1,0,683,9,False
1,0,685,1,False
1,0,695,1,False
1,0,713,1,False
1,0,718,2,False
1,0,726,0,False
1,0,730,4,False
1,0,737,2,False
1,0,751,7,False
1,0,754,0,False
1,0,757,0,False
1,0,772,1,True
1,0,786,0,False
1,0,787,2,False
1,0,789,0,False
1,0,790,2,False
1,0,799,0,False
1,0,800,0,False
1,0,828,0,False
1,0,834,6,True
1,0,839,0,False
2,0,4,4,False
2,0,6,0,False
2,0,7,0,False
2,0,12,0,False
2,0,34,0,False
2,0,43,0,False
2,0,52,3,False
2,0,54,7,False
2,0,55,4,False
2,0,60,0,False
2,0,61,1,False
2,0,62,1,False
2,0,68,0,False
2,0,71,6,False
2,0,113,8,False
2,0,115,0,False
2,0,118,0,False
2,0,120,3,False
2,0,149,0,False
2,0,158,1,False
2,0,173,0,False
2,0,195,0,False
2,0,205,0,False
2,0,213,2,False
2,0,219,6,False
2,0,225,0,False
2,0,237,0,False
2,0,238,2,False
2,0,239,1,False
2,0,241,0,True
2,0,243,3,True
2,0,254,1,False
2,0,255,3,False
2,0,268,5,False
2,0,283,5,False
2,0,295,1,False
2,0,302,1,False
2,0,304,0,False
2,0,341,0,True
2,0,349,4,False
2,0,353,2,False
2,0,356,0,False
2,0,362,0,False
2,0,364,0,False
2,0,382,1,False
2,0,385,1,False
2,0,386,0,False
2,0,451,0,True
2,0,466,1,False
2,0,486,5,False
2,0,499,2,False
2,0,526,0,False
2,0,542,0,True
2,0,546,2,False
2,0,552,0,False
2,0,563,0,True
2,0,566,2,False
2,0,569,2,False
2,0,584,0,False
2,0,586,5,False
2,0,599,0,True
2,0,609,4,False
2,0,613,0,False
2,0,623,4,False
2,0,633,0,False
2,0,635,0,False
2,0,648,0,False
2,0,661,1,False
2,0,665,1,False
2,0,675,6,False
2,0,680,0,False
2,0,690,2,False
2,0,692,0,False
2,0,699,0,True
2,0,704,0,False
2,0,706,4,False
2,0,721,3,False
2,0,732,1,False
2,0,749,1,True
2,0,755,4,False
2,0,765,0,False
2,0,770,1,False
2,0,783,1,False
2,0,788,1,False
2,0,818,0,False
3,0,17,0,False
3,0,36,2,False
3,0,44,3,False
3,0,51,0,True
3,0,66,2,False
3,0,72,0,True
3,0,96,1,False
3,0,99,3,False
3,0,100,5,True
3,0,103,5,False
3,0,106,1,False
3,0,110,0,False
3,0,116,0,False
3,0,117,2,False
3,0,123,7,True
3,0,142,1,False
3,0,146,2,False
3,0,166,4,False
3,0,185,0,False
3,0,187,0,True
3,0,189,0,True
3,0,208,0,False
3,0,228,0,False
3,0,258,0,False
3,0,289,3,False
3,0,290,1,False
3,0,293,1,False
3,0,325,2,False
3,0,329,0,True
3,0,330,2,False
3,0,339,0,False
3,0,361,1,False
3,0,372,0,False
3,0,375,6,False
3,0,377,0,False
3,0,381,10,False
3,0,396,10,False
3,0,411,11,False
3,0,432,0,False
3,0,438,0,False
3,0,443,0,False
3,0,448,0,False
3,0,450,1,False
3,0,465,0,False
3,0,467,1,False
3,0,472,3,False
3,0,473,3,False
3,0,482,0,True
3,0,485,0,False
3,0,496,1,False
3,0,529,3,False
3,0,530,0,True
3,0,533,4,False
3,0,541,3,False
3,0,548,1,False
3,0,550,8,False
3,0,557,1,False
3,0,558,3,False
3,0,561,0,False
3,0,565,2,False
3,0,572,0,False
3,0,573,0,False
3,0,585,8,False
3,0,618,0,False
3,0,621,1,False
3,0,626,0,False
3,0,634,3,True
3,0,639,1,False
3,0,642,0,True
3,0,645,1,False
3,0,660,5,False
3,0,686,0,True
3,0,689,1,False
3,0,707,8,False
3,0,715,4,False
3,0,733,9,False
3,0,740,1,False
3,0,744,0,False
3,0,748,0,False
3,0,753,1,False
3,0,766,0,False
3,0,768,0,True
3,0,809,2,True
3,0,825,0,True
3,0,836,0,False
4,0,1,0,False
4,0,20,0,False
4,0,21,6,True
4,0,37,5,False
4,0,39,3,False
4,0,41,8,False
4,0,77,0,True
4,0,84,1,False
4,0,101,0,False
4,0,131,1,True
4,0,135,4,False
4,0,156,0,True
4,0,159,1,False
4,0,179,0,False
4,0,194,0,False
4,0,210,3,True
4,0,215,0,True
4,0,222,0,False
4,0,223,1,False
4,0,233,0,True
4,0,252,0,False
4,0,276,1,False
4,0,285,1,True
4,0,296,0,False
4,0,297,1,True
4,0,298,1,False
4,0,301,0,True
4,0,308,1,False
4,0,309,2,False
4,0,312,0,False
4,0,317,2,False
4,0,318,6,False
4,0,338,1,False
4,0,346,5,False
4,0,350,1,False
4,0,354,0,False
4,0,358,0,False
4,0,376,1,False
4,0,391,1,False
4,0,400,3,False
4,0,420,5,False
4,0,426,0,False
4,0,436,2,False
4,0,442,5,False
4,0,445,0,False
4,0,452,0,True
4,0,458,2,False
4,0,460,3,False
4,0,461,0,False
4,0,491,1,False
4,0,497,0,False
4,0,505,2,False
4,0,510,2,False
4,0,511,0,True
4,0,528,0,False
4,0,534,4,False
4,0,540,1,False
4,0,543,0,False
4,0,560,1,False
4,0,590,0,False
4,0,605,2,True
4,0,628,1,False
4,0,631,1,False
4,0,649,0,False
4,0,652,4,False
4,0,653,0,False
4,0,671,1,True
4,0,679,1,False
4,0,687,10,False
4,0,705,2,False
4,0,708,0,False
4,0,717,1,False
4,0,728,3,False
4,0,741,0,False
4,0,743,0,True
4,0,773,0,False
4,0,780,1,False
4,0,781,2,False
4,0,793,0,False
4,0,794,0,False
4,0,797,3,False
4,0,804,0,False
4,0,811,1,False
4,0,830,3,False
4,0,843,2,False
5,0,0,1,False
5,0,8,6,False
5,0,31,0,True
5,0,33,1,False
5,0,35,1,True
5,0,40,0,False
5,0,48,0,False
5,0,63,0,False
5,0,70,1,False
5,0,78,0,False
5,0,83,2,False
5,0,86,0,False
