feature,error,prediction_count,q00,q05,q25,q50,q75,q95,q100
COMPACTNESS,False,3559,73.0,82.0,87.5,93.0,100.0,108.0,119.0
COMPACTNESS,True,671,77.0,82.0,87.0,90.0,95.0,106.0,113.0
CIRCULARITY,False,3559,33.0,36.0,41.0,45.0,50.0,55.0,59.0
CIRCULARITY,True,671,33.0,35.0,38.0,41.0,47.0,55.0,57.0
DISTANCE_CIRCULARITY,False,3559,40.0,60.0,70.0,80.0,98.0,107.0,112.0
DISTANCE_CIRCULARITY,True,671,40.0,53.0,70.0,78.0,90.0,104.0,112.0
RADIUS_RATIO,False,3559,104.0,120.0,140.0,167.0,196.0,222.0,322.0
RADIUS_RATIO,True,671,110.0,121.0,145.0,169.0,191.0,222.0,333.0
PR.AXIS_ASPECT_RATIO,False,3559,47.0,52.0,57.0,62.0,65.0,72.0,133.0
PR.AXIS_ASPECT_RATIO,True,671,51.0,54.0,57.0,60.0,63.0,69.0,138.0
MAX.LENGTH_ASPECT_RATIO,False,3559,2.0,5.0,7.0,8.0,10.0,12.0,55.0
MAX.LENGTH_ASPECT_RATIO,True,671,3.0,5.0,7.0,8.0,9.0,11.0,52.0
SCATTER_RATIO,False,3559,112.0,126.0,147.0,157.0,201.0,224.0,265.0
SCATTER_RATIO,True,671,112.0,123.0,142.0,157.0,179.5,215.0,222.0
ELONGATEDNESS,False,3559,26.0,30.0,33.0,43.0,46.0,54.0,61.0
ELONGATEDNESS,True,671,30.0,31.0,36.5,42.0,47.0,55.0,61.0
PR.AXIS_RECTANGULARITY,False,3559,17.0,18.0,19.0,20.0,23.0,25.0,29.0
PR.AXIS_RECTANGULARITY,True,671,17.0,17.0,18.0,20.0,21.0,24.0,25.0
MAX.LENGTH_RECTANGULARITY,False,3559,118.0,128.0,139.0,147.0,161.0,173.0,188.0
MAX.LENGTH_RECTANGULARITY,True,671,118.0,124.0,130.0,137.0,151.0,169.5,177.0
SCALED_VARIANCE_MAJOR,False,3559,130.0,145.0,168.0,178.0,218.0,236.0999999999999,288.0
SCALED_VARIANCE_MAJOR,True,671,130.0,141.0,164.0,182.0,206.0,226.0,320.0
SCALED_VARIANCE_MINOR,False,3559,184.0,230.0,321.0,363.0,608.0,735.0,1018.0
SCALED_VARIANCE_MINOR,True,671,184.0,221.0,299.0,367.0,486.5,684.0,719.0
SCALED_RADIUS_OF_GYRATION,False,3559,109.0,125.0,152.0,175.0,200.0,230.0,268.0
SCALED_RADIUS_OF_GYRATION,True,671,114.0,123.0,139.0,158.0,190.0,223.0,244.0
SKEWNESS_ABOUT_MAJOR,False,3559,59.0,63.0,68.0,72.0,76.0,85.0,127.0
SKEWNESS_ABOUT_MAJOR,True,671,59.0,63.0,66.0,69.0,73.0,82.5,135.0
SKEWNESS_ABOUT_MINOR,False,3559,0.0,0.0,2.0,6.0,9.0,15.099999999999909,22.0
SKEWNESS_ABOUT_MINOR,True,671,0.0,0.0,2.0,5.0,10.0,17.0,22.0
KURTOSIS_ABOUT_MAJOR,False,3559,0.0,1.0,6.0,11.0,18.0,29.0,41.0
KURTOSIS_ABOUT_MAJOR,True,671,0.0,1.0,5.0,11.0,21.0,33.0,40.0
KURTOSIS_ABOUT_MINOR,False,3559,176.0,179.0,184.0,188.0,193.0,200.0,206.0
KURTOSIS_ABOUT_MINOR,True,671,177.0,180.0,186.0,189.0,192.5,198.0,206.0
HOLLOWS_RATIO,False,3559,181.0,183.0,190.0,196.0,201.0,207.0,211.0
HOLLOWS_RATIO,True,671,182.0,184.0,192.0,197.0,201.0,206.5,211.0
