feature,drop_mean
HOLLOWS_RATIO,0.23439203141225243
RADIUS_RATIO,0.21561088875803713
SKEWNESS_ABOUT_MAJOR,0.17081241738134956
KURTOSIS_ABOUT_MINOR,0.16318715260890163
ELONGATEDNESS,0.1578303983447481
DISTANCE_CIRCULARITY,0.15591217787816292
MAX.LENGTH_RECTANGULARITY,0.1476491853515465
PR.AXIS_ASPECT_RATIO,0.13609268378843611
SCALED_VARIANCE_MINOR,0.13228781345829
COMPACTNESS,0.11572721698751849
SCATTER_RATIO,0.1106072873726658
CIRCULARITY,0.10427315864754591
PR.AXIS_RECTANGULARITY,0.09960024870172886
SCALED_RADIUS_OF_GYRATION,0.09927890366999055
SCALED_VARIANCE_MAJOR,0.031196050895549433
MAX.LENGTH_ASPECT_RATIO,0.025970077017977114
KURTOSIS_ABOUT_MAJOR,0.020501928950143532
SKEWNESS_ABOUT_MINOR,0.012686292522902643
