mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07016925811767578,0.03335128727131073,0.003817176818847656,0.0010537715253192395,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.3691911098161098,0.48452835921258,0.45157874868019793,0.5617279181661712,0.6669130411946504,0.5067878354139419,0.10112851294577037,11
0.03727312088012695,0.007537523537852008,0.0038177013397216798,0.0007393152562474772,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7381265722229577,0.6213001880110631,0.7320908997352344,0.7001016353892605,0.700489346608068,0.6984217283933167,0.04162911684366163,6
0.05097742080688476,0.013109195916977063,0.003907918930053711,0.0008414172212312943,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6785100562808902,0.6090155933581525,0.341067444116931,0.6070293713500515,0.5224499200548047,0.5516144770321659,0.11631750612327957,9
0.06519322395324707,0.01300241722411094,0.004596042633056641,0.0017169537234123374,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7624971956746085,0.7638012785233479,0.8168140755166072,0.8038128574732694,0.7690868979307947,0.7832024610237256,0.022622520140984658,3
0.09454665184020997,0.018479455662321766,0.004499053955078125,0.0016329373149064725,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.6477449553324156,0.5833911001488503,0.6765684100691274,0.6662391011058089,0.615336500823299,0.6378560134959003,0.03428001084677087,8
0.07208232879638672,0.012459986255533724,0.004267454147338867,0.001135152724058149,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.8132313537243114,0.7549898421991446,0.8201183778715424,0.8109316475284436,0.7672070185254874,0.7932956479697858,0.026742741167526545,2
0.07373213768005371,0.038546928565443776,0.003417634963989258,0.0011641430700279416,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.3691911098161098,0.48452835921258,0.45157874868019793,0.5617279181661712,0.6669130411946504,0.5067878354139419,0.10112851294577037,11
0.04092531204223633,0.005272852478401585,0.0038156986236572267,0.0009450710431122793,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7381265722229577,0.6213001880110631,0.7320908997352344,0.7001016353892605,0.7152012877285472,0.7013641166174126,0.042187455884450345,5
0.04626622200012207,0.014943485083679545,0.0046901702880859375,0.0015436969177019153,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6785100562808902,0.6090155933581525,0.341067444116931,0.6070293713500515,0.5224499200548047,0.5516144770321659,0.11631750612327957,9
0.05895576477050781,0.011375042812225558,0.004818487167358399,0.0021123340558742206,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7624971956746085,0.7638012785233479,0.8168140755166072,0.7910518424096227,0.7443149250890502,0.7756958634426473,0.025404577254499194,4
0.08922648429870605,0.016608736353557703,0.0044596195220947266,0.0018403252102733242,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.654731721011963,0.5833911001488503,0.6765684100691274,0.6662391011058089,0.615336500823299,0.6392533666318096,0.034793192072194744,7
0.06769294738769531,0.008578926833283491,0.004685592651367187,0.001249601010701022,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.8204659078821401,0.7929689730655753,0.8224765512265513,0.81640831530882,0.7781272872191042,0.8060894069404382,0.017525570298683978,1
