split,repeat,fold,method,row_index,true,predicted,margin
27,2,7,svm,295,bus,bus,0.0004327100656582594
35,3,5,svm,756,saab,saab,0.002202171860934854
35,3,5,svm,156,opel,opel,0.0023001896442162995
27,2,7,svm,536,saab,saab,0.008344550185817923
22,2,2,svm,776,saab,saab,0.00917179006439195
48,4,8,svm,702,opel,opel,0.010296810484398122
11,1,1,svm,823,opel,opel,0.010706892104809462
26,2,6,svm,347,opel,opel,0.011364905632266442
21,2,1,svm,723,opel,opel,0.012559864735921522
49,4,9,svm,654,saab,saab,0.012802909065083856
