feature,f1_drop_mean,f1_drop_sd,macro_f1_mean,balanced_accuracy_mean
HOLLOWS_RATIO,0.21784176373408415,0.050296697048162586,0.6238404166713201,0.6392188425609479
RADIUS_RATIO,0.166416506941206,0.06621565584074084,0.6752656734641981,0.6678500797448166
SCALED_VARIANCE_MINOR,0.12423084487739523,0.033085802159522955,0.717451335528009,0.7318104351788562
ELONGATEDNESS,0.11390746478256997,0.044845081571603565,0.7277747156228342,0.7315712007290955
SKEWNESS_ABOUT_MAJOR,0.11169900871566883,0.04509787548407386,0.7299831716897353,0.7277127477785372
CIRCULARITY,0.10218587603393298,0.050007740437067065,0.7394963043714712,0.746284632034632
COMPACTNESS,0.09795317346455193,0.041794646070867726,0.7437290069408522,0.752715367965368
KURTOSIS_ABOUT_MINOR,0.09756380377435522,0.03716403347083236,0.7441183766310489,0.7483849396217818
PR.AXIS_ASPECT_RATIO,0.09621467964239053,0.039952797948974585,0.7454675007630136,0.7438782752335383
DISTANCE_CIRCULARITY,0.08895157614718631,0.04555940864684663,0.7527306042582178,0.7673950216450217
SCATTER_RATIO,0.08512430774100531,0.040207345328507116,0.7565578726643989,0.7630169742538163
MAX.LENGTH_RECTANGULARITY,0.08442228471810446,0.03560581795049176,0.7572598956872997,0.7680444292549555
SCALED_RADIUS_OF_GYRATION,0.0693723559027167,0.04433890444458703,0.7723098245026874,0.7684380268853953
PR.AXIS_RECTANGULARITY,0.06491773064936435,0.04492238601835207,0.7767644497560399,0.7723532125768968
SCALED_VARIANCE_MAJOR,0.017446926109912105,0.02983311907198488,0.824235254295492,0.8260530303030303
KURTOSIS_ABOUT_MAJOR,0.010291444640645629,0.029612858273225212,0.8313907357647585,0.8345799156983368
MAX.LENGTH_ASPECT_RATIO,0.008798370393670459,0.02046239099649721,0.8328838100117337,0.835356971975393
SKEWNESS_ABOUT_MINOR,0.0073712713110243725,0.02274252637262015,0.8343109090943799,0.8368006949191159
