method,split,kind,level,realization,macro_f1,balanced_accuracy
centroid,0,noise,0.05,0,0.3989846798670328,0.43333333333333335
centroid,0,noise,0.05,1,0.4137796887796888,0.4446969696969697
centroid,0,noise,0.05,2,0.38358488358488363,0.421969696969697
centroid,0,noise,0.05,3,0.39681457873012344,0.43333333333333335
centroid,0,noise,0.05,4,0.3847288676236045,0.421969696969697
centroid,0,noise,0.05,5,0.38358488358488363,0.421969696969697
centroid,0,noise,0.05,6,0.41221437501227265,0.4446969696969697
centroid,0,noise,0.05,7,0.3952957421707422,0.43387445887445886
centroid,0,noise,0.05,8,0.3989846798670328,0.43333333333333335
centroid,0,noise,0.05,9,0.4132203865445999,0.4446969696969697
centroid,0,noise,0.05,10,0.41340811965811963,0.4452380952380952
centroid,0,noise,0.05,11,0.4270093839249286,0.45606060606060606
centroid,0,noise,0.05,12,0.39681457873012344,0.43333333333333335
centroid,0,noise,0.05,13,0.3841742139439508,0.421969696969697
centroid,0,noise,0.05,14,0.3998907998907999,0.43333333333333335
centroid,0,noise,0.05,15,0.3841742139439508,0.421969696969697
centroid,0,noise,0.05,16,0.41221437501227265,0.4446969696969697
centroid,0,noise,0.05,17,0.3952957421707422,0.43387445887445886
centroid,0,noise,0.05,18,0.415146248984382,0.4446969696969697
centroid,0,noise,0.05,19,0.39681457873012344,0.43333333333333335
centroid,0,noise,0.1,0,0.41206472620946305,0.4452380952380952
centroid,0,noise,0.1,1,0.4163197486872935,0.4446969696969697
centroid,0,noise,0.1,2,0.39681457873012344,0.43333333333333335
centroid,0,noise,0.1,3,0.3989846798670328,0.43333333333333335
centroid,0,noise,0.1,4,0.3807374541003672,0.421969696969697
centroid,0,noise,0.1,5,0.3952957421707422,0.43387445887445886
centroid,0,noise,0.1,6,0.39643972620946305,0.43387445887445886
centroid,0,noise,0.1,7,0.3852049910873441,0.421969696969697
centroid,0,noise,0.1,8,0.3989846798670328,0.43333333333333335
centroid,0,noise,0.1,9,0.3952957421707422,0.43387445887445886
centroid,0,noise,0.1,10,0.42440191387559806,0.45660173160173156
centroid,0,noise,0.1,11,0.412254120148857,0.4452380952380952
centroid,0,noise,0.1,12,0.41692428268080883,0.4452380952380952
centroid,0,noise,0.1,13,0.3810299349773034,0.421969696969697
centroid,0,noise,0.1,14,0.3841846310596311,0.421969696969697
centroid,0,noise,0.1,15,0.4254079254079254,0.45660173160173156
centroid,0,noise,0.1,16,0.37217072036150983,0.41060606060606064
centroid,0,noise,0.1,17,0.38358488358488363,0.421969696969697
centroid,0,noise,0.1,18,0.41221437501227265,0.4446969696969697
centroid,0,noise,0.1,19,0.4137796887796888,0.4446969696969697
centroid,0,noise,0.2,0,0.3918837497784866,0.4208333333333333
centroid,0,noise,0.2,1,0.4049006723425328,0.4458333333333333
centroid,0,noise,0.2,2,0.359504797004797,0.3981060606060606
centroid,0,noise,0.2,3,0.3726041400460005,0.40946969696969693
centroid,0,noise,0.2,4,0.3883974883974884,0.4213744588744589
centroid,0,noise,0.2,5,0.3932028619528619,0.4208333333333333
centroid,0,noise,0.2,6,0.3587077337077337,0.39870129870129867
centroid,0,noise,0.2,7,0.4138548951048951,0.4446969696969697
centroid,0,noise,0.2,8,0.3881820688272301,0.4213744588744589
centroid,0,noise,0.2,9,0.4161486661486662,0.4441017316017316
centroid,0,noise,0.2,10,0.412254120148857,0.4452380952380952
centroid,0,noise,0.2,11,0.41692428268080883,0.4452380952380952
centroid,0,noise,0.2,12,0.3804394757784588,0.421969696969697
centroid,0,noise,0.2,13,0.3841742139439508,0.421969696969697
centroid,0,noise,0.2,14,0.4181201862653476,0.4577380952380952
centroid,0,noise,0.2,15,0.37217072036150983,0.41060606060606064
centroid,0,noise,0.2,16,0.40303715891951186,0.43219696969696964
centroid,0,noise,0.2,17,0.39147334147334145,0.4202922077922078
centroid,0,noise,0.2,18,0.3989846798670328,0.43333333333333335
centroid,0,noise,0.2,19,0.39679361447095995,0.43387445887445886
centroid,0,missing,0.05,0,0.39681457873012344,0.43333333333333335
centroid,0,missing,0.05,1,0.41221437501227265,0.4446969696969697
centroid,0,missing,0.05,2,0.42792626889754115,0.45606060606060606
centroid,0,missing,0.05,3,0.3989846798670328,0.43333333333333335
centroid,0,missing,0.05,4,0.3998803827751196,0.43333333333333335
