method,kind,level,perturbed_macro_f1,clean_macro_f1,delta
centroid,missing,0.05,0.4398863497845989,0.4410829105857196,-0.001196560801120683
centroid,missing,0.1,0.440152865003983,0.4410829105857196,-0.0009300455817365938
centroid,noise,0.05,0.4398746696986731,0.4410829105857196,-0.0012082408870464634
centroid,noise,0.1,0.4393103639511443,0.4410829105857196,-0.0017725466345752672
centroid,noise,0.2,0.4378546394884768,0.4410829105857196,-0.003228271097242774
knn,missing,0.05,0.6937958998347301,0.7080995260586564,-0.014303626223926336
knn,missing,0.1,0.6785616417786735,0.7080995260586564,-0.02953788427998294
knn,noise,0.05,0.7081685934073563,0.7080995260586564,6.9067348699825e-05
knn,noise,0.1,0.7069912680812532,0.7080995260586564,-0.0011082579774032153
knn,noise,0.2,0.6981505958562881,0.7080995260586564,-0.009948930202368311
mlp,missing,0.05,0.7406998696566619,0.7751256784187035,-0.0344258087620416
mlp,missing,0.1,0.710847164858891,0.7751256784187035,-0.06427851355981251
mlp,noise,0.05,0.773827360863546,0.7751256784187035,-0.0012983175551575243
mlp,noise,0.1,0.7672328865624729,0.7751256784187035,-0.007892791856230597
mlp,noise,0.2,0.739820489575267,0.7751256784187035,-0.035305188843436475
rbf,missing,0.05,0.7086300865268002,0.7265406972893699,-0.017910610762569723
rbf,missing,0.1,0.6877218536037201,0.7265406972893699,-0.038818843685649806
rbf,noise,0.05,0.7275484704690209,0.7265406972893699,0.0010077731796510614
rbf,noise,0.1,0.724456280866917,0.7265406972893699,-0.0020844164224528283
rbf,noise,0.2,0.712430835716671,0.7265406972893699,-0.01410986157269889
svm,missing,0.05,0.7755855635728001,0.8416821804054042,-0.06609661683260415
svm,missing,0.1,0.724065445490859,0.8416821804054042,-0.11761673491454516
svm,noise,0.05,0.8327347516493222,0.8416821804054042,-0.00894742875608201
svm,noise,0.1,0.8175674340037834,0.8416821804054042,-0.024114746401620812
svm,noise,0.2,0.7651554212046725,0.8416821804054042,-0.07652675920073171
