,,,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy
,,,mean,std,mean,std
method,kind,level,,,,
centroid,missing,0.05,0.4398863497845989,0.050467689630707,0.46098946229209387,0.04589309723463256
centroid,missing,0.1,0.440152865003983,0.049275468678227664,0.46109103725222145,0.04502804504761413
centroid,noise,0.05,0.4398746696986731,0.050399570912276453,0.46141845238095236,0.04539487798441474
centroid,noise,0.1,0.4393103639511443,0.051137848063087736,0.4609430678970153,0.04631703166833685
centroid,noise,0.2,0.4378546394884768,0.051782026649765465,0.4601226817042606,0.046840998722168306
knn,missing,0.05,0.6937958998347301,0.050173005884318486,0.6999937457279563,0.04846847196253115
knn,missing,0.1,0.6785616417786735,0.050892429151011366,0.6851801207564365,0.04949905724344601
knn,noise,0.05,0.7081685934073563,0.048531193154229574,0.7141937656641604,0.04700552716389739
knn,noise,0.1,0.7069912680812532,0.046566528579189415,0.7130209330143541,0.04514369893764292
knn,noise,0.2,0.6981505958562881,0.047543748684855607,0.704594819434951,0.04627091008432057
mlp,missing,0.05,0.7406998696566619,0.04733706637900369,0.7465155958077011,0.04479248817472727
mlp,missing,0.1,0.710847164858891,0.046637266560813115,0.7165205399863295,0.045126999115008816
mlp,noise,0.05,0.773827360863546,0.049987864390062184,0.7797642714741398,0.04692008480299971
mlp,noise,0.1,0.7672328865624729,0.05028320893833885,0.7733151372750057,0.04692708279146916
mlp,noise,0.2,0.739820489575267,0.050053987917922434,0.7455686118705855,0.04723902125128886
rbf,missing,0.05,0.7086300865268002,0.04098679064955094,0.7231422077922078,0.03801605220947379
rbf,missing,0.1,0.6877218536037201,0.04504816759530745,0.7032851105035316,0.04209287192949936
rbf,noise,0.05,0.7275484704690209,0.03689251624970977,0.7415299270904534,0.034322508999235384
rbf,noise,0.1,0.724456280866917,0.03626984312449756,0.7386367652084757,0.033864603411914336
rbf,noise,0.2,0.712430835716671,0.03880365453947691,0.7270529989747094,0.036422458483010116
svm,missing,0.05,0.7755855635728001,0.04338592168014025,0.7765419229892914,0.04342817872634938
svm,missing,0.1,0.724065445490859,0.04643935051647126,0.7240959159261791,0.046783949491787366
svm,noise,0.05,0.8327347516493222,0.034182737247454305,0.8346846576668945,0.033565132455837005
svm,noise,0.1,0.8175674340037834,0.03770355710107847,0.8192812969924812,0.03746015619798901
svm,noise,0.2,0.7651554212046725,0.0429664677255053,0.7661776515151515,0.04310584747477374
